11.10 16:00:33 STATS: ball.0 cache, locks:0
11.10 16:01:33 STATS: ball.0 cache, locks:0
11.10 16:02:33 STATS: ball.0 cache, locks:0
11.10 16:03:33 STATS: ball.0 cache, locks:0
11.10 16:04:33 STATS: ball.0 cache, locks:0
11.10 16:05:33 STATS: ball.0 cache, locks:0
11.10 16:06:33 STATS: ball.0 cache, locks:0
11.10 16:07:33 STATS: ball.0 cache, locks:0
11.10 16:08:33 STATS: ball.0 cache, locks:0
11.10 16:09:33 STATS: ball.0 cache, locks:0
11.10 16:10:33 STATS: ball.0 cache, locks:0
11.10 16:11:33 STATS: ball.0 cache, locks:0
11.10 16:12:33 STATS: ball.0 cache, locks:0
11.10 16:13:33 STATS: ball.0 cache, locks:0
11.10 16:14:33 STATS: ball.0 cache, locks:0
11.10 16:15:33 STATS: ball.0 cache, locks:0
11.10 16:16:33 STATS: ball.0 cache, locks:0
11.10 16:17:33 STATS: ball.0 cache, locks:0
11.10 16:18:33 STATS: ball.0 cache, locks:0
11.10 16:19:33 STATS: ball.0 cache, locks:0
11.10 16:20:33 STATS: ball.0 cache, locks:0
11.10 16:21:33 STATS: ball.0 cache, locks:0
11.10 16:22:33 STATS: ball.0 cache, locks:0
11.10 16:23:33 STATS: ball.0 cache, locks:0
11.10 16:24:33 STATS: ball.0 cache, locks:0
11.10 16:25:33 STATS: ball.0 cache, locks:0
11.10 16:26:33 STATS: ball.0 cache, locks:0
11.10 16:27:33 STATS: ball.0 cache, locks:0
11.10 16:28:33 STATS: ball.0 cache, locks:0
11.10 16:29:33 STATS: ball.0 cache, locks:0
11.10 16:30:33 STATS: ball.0 cache, locks:0
11.10 16:31:33 STATS: ball.0 cache, locks:0
11.10 16:32:33 STATS: ball.0 cache, locks:0
11.10 16:33:33 STATS: ball.0 cache, locks:0
11.10 16:34:33 STATS: ball.0 cache, locks:0
11.10 16:35:33 STATS: ball.0 cache, locks:0
11.10 16:36:33 STATS: ball.0 cache, locks:0
11.10 16:37:33 STATS: ball.0 cache, locks:0
11.10 16:38:33 STATS: ball.0 cache, locks:0
11.10 16:39:33 STATS: ball.0 cache, locks:0
11.10 16:40:33 STATS: ball.0 cache, locks:0
11.10 16:41:33 STATS: ball.0 cache, locks:0
11.10 16:42:33 STATS: ball.0 cache, locks:0
11.10 16:43:33 STATS: ball.0 cache, locks:0
11.10 16:44:33 STATS: ball.0 cache, locks:0
11.10 16:45:33 STATS: ball.0 cache, locks:0
11.10 16:46:33 STATS: ball.0 cache, locks:0
11.10 16:47:33 STATS: ball.0 cache, locks:0
11.10 16:48:33 STATS: ball.0 cache, locks:0
11.10 16:49:33 STATS: ball.0 cache, locks:0
11.10 16:50:33 STATS: ball.0 cache, locks:0
11.10 16:51:33 STATS: ball.0 cache, locks:0
11.10 16:52:33 STATS: ball.0 cache, locks:0
11.10 16:53:33 STATS: ball.0 cache, locks:0
11.10 16:54:33 STATS: ball.0 cache, locks:0
11.10 16:55:33 STATS: ball.0 cache, locks:0
11.10 16:56:33 STATS: ball.0 cache, locks:0
11.10 16:57:33 STATS: ball.0 cache, locks:0
11.10 16:58:33 STATS: ball.0 cache, locks:0
11.10 16:59:33 STATS: ball.0 cache, locks:0
